user_id,country,sex,height,weight,bmi,age,years_cl,date_first,time_first,date_last,time_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last,years_recorded
1,SWE,male,177,73,23.3,41,21,1999-02-06,23:00:00,2001-07-31,22:00:00,84,36,55,62,46.75,1999,2001,2
3,SWE,male,180,78,24.07,44,22,1999-03-31,22:00:00,2000-07-19,22:00:00,12,53,51,59,52.833333333333336,1999,2000,1
4,SWE,female,165,58,21.3,33,16,2004-06-30,22:00:00,2009-05-26,22:00:00,119,53,49,64,53.890756302521005,2004,2009,5
10,SWE,male,167,63,22.59,52,25,2000-01-14,23:00:00,2017-06-01,22:00:00,298,53,49,63,49.40604026845637,2000,2017,17
16,NOR,male,177,68,21.71,44,21,1998-02-27,23:00:00,2010-05-13,22:00:00,5,53,49,53,51.4,1998,2010,12
17,SWE,male,193,78,20.94,42,17,2001-06-19,22:00:00,2002-04-30,22:00:00,4,36,36,36,34.5,2001,2002,1
19,BEL,male,180,68,20.99,36,21,2000-08-07,22:00:00,2002-03-11,23:00:00,32,49,46,49,37.25,2000,2002,2
28,CAN,male,180,68,20.99,45,29,2000-09-01,22:00:00,2017-08-25,22:00:00,86,53,46,64,50.395348837209305,2000,2017,17
34,other,male,180,68,20.99,21,24,1999-12-31,23:00:00,2000-12-31,23:00:00,11,51,46,53,48.36363636363637,1999,2000,1
38,GBR,male,178,73,23.04,35,24,2000-11-03,23:00:00,2017-07-21,22:00:00,323,55,55,71,57.73684210526316,2000,2017,17
39,NLD,male,178,78,24.62,45,21,2000-09-09,22:00:00,2000-05-28,22:00:00,8,53,42,53,47.75,2000,2000,0
47,SWE,male,188,83,23.48,42,17,2001-04-15,22:00:00,2001-04-30,22:00:00,5,29,29,44,33.4,2001,2001,0
48,SWE,male,178,73,23.04,39,17,2000-06-09,22:00:00,2001-06-17,22:00:00,6,38,44,44,41.0,2000,2001,1
51,SWE,male,181,68,20.76,36,20,2000-09-05,22:00:00,2008-08-05,22:00:00,233,40,44,62,45.06437768240343,2000,2008,8
52,SWE,male,182,68,20.53,35,21,1998-12-31,23:00:00,2003-05-07,22:00:00,67,59,57,62,56.16417910447761,1998,2003,5
54,SWE,male,183,73,21.8,40,18,2000-11-16,23:00:00,2006-09-01,22:00:00,26,51,62,62,49.42307692307692,2000,2006,6
69,USA,male,183,73,21.8,47,23,2000-09-30,22:00:00,2002-07-21,22:00:00,36,55,51,62,53.52777777777778,2000,2002,2
79,DEU,male,188,83,23.48,43,26,1999-03-14,23:00:00,2017-08-26,22:00:00,375,62,53,66,56.61066666666667,1999,2017,18
80,NOR,male,183,73,21.8,41,22,2000-04-10,22:00:00,2002-05-11,22:00:00,44,59,44,59,47.06818181818182,2000,2002,2
86,SWE,male,186,83,23.99,45,27,2000-03-29,22:00:00,2007-09-27,22:00:00,23,44,49,53,45.95652173913044,2000,2007,7
89,ITA,male,172,63,21.3,46,28,2001-03-30,22:00:00,2016-01-31,23:00:00,79,57,53,66,54.91139240506329,2001,2016,15
118,USA,male,178,63,19.88,36,20,1999-12-31,23:00:00,2015-10-04,22:00:00,231,72,77,77,66.45454545454545,1999,2015,16
121,POL,male,168,68,24.09,48,24,1999-12-31,23:00:00,2002-09-06,22:00:00,4,55,49,55,50.75,1999,2002,3
129,SWE,male,180,73,22.53,40,17,2001-08-31,22:00:00,2011-10-01,22:00:00,192,51,46,62,51.88541666666666,2001,2011,10
137,NOR,male,184,78,23.04,42,17,2000-05-11,22:00:00,2002-12-21,23:00:00,24,53,53,59,53.333333333333336,2000,2002,2
148,ZAF,male,194,78,20.72,48,24,2001-04-19,22:00:00,2003-07-12,22:00:00,27,46,38,55,42.7037037037037,2001,2003,2
151,FRA,male,180,73,22.53,48,27,2000-02-25,23:00:00,2017-02-26,23:00:00,329,53,62,70,58.659574468085104,2000,2017,17
155,GBR,male,179,68,21.22,42,23,1998-12-31,23:00:00,2002-09-14,22:00:00,68,59,66,66,57.6764705882353,1998,2002,4
158,SWE,male,187,73,20.88,39,22,2000-01-29,23:00:00,2000-01-29,23:00:00,2,62,62,62,62.0,2000,2000,0
164,POL,male,173,73,24.39,45,26,2000-04-16,22:00:00,2016-09-19,22:00:00,1155,49,56,66,53.21385281385282,2000,2016,16
165,PRT,male,172,58,19.61,42,17,2003-01-31,23:00:00,2006-01-27,23:00:00,78,38,51,51,39.15384615384615,2003,2006,3
166,other,male,165,63,23.14,42,19,2008-03-17,23:00:00,2017-01-02,23:00:00,40,46,38,62,49.325,2008,2017,9
178,NOR,male,170,68,23.53,47,27,1999-12-26,23:00:00,2015-06-17,22:00:00,203,59,62,68,58.24630541871921,1999,2015,16
190,NOR,male,177,78,24.9,35,20,2001-05-31,22:00:00,2008-01-10,23:00:00,82,62,49,66,55.19512195121951,2001,2008,7
206,SWE,male,195,83,21.83,46,25,2001-07-09,22:00:00,2007-10-09,22:00:00,25,53,46,55,47.48,2001,2007,6
207,other,male,165,63,23.14,39,21,2001-03-31,22:00:00,2009-01-21,23:00:00,61,57,57,64,60.42622950819672,2001,2009,8
212,AUS,male,185,68,19.87,44,29,2000-01-09,23:00:00,2007-02-24,23:00:00,92,59,62,68,60.05434782608695,2000,2007,7
213,DEU,male,193,83,22.28,37,23,2000-07-18,22:00:00,2005-06-29,22:00:00,46,59,57,66,57.30434782608695,2000,2005,5
215,USA,male,174,73,24.11,32,22,2000-06-09,22:00:00,2002-08-16,22:00:00,10,57,57,64,57.2,2000,2002,2
218,SWE,male,178,68,21.46,44,20,2001-01-19,23:00:00,2010-10-19,22:00:00,90,40,46,55,45.91111111111111,2001,2010,9
220,SWE,male,191,88,24.12,36,17,2000-08-31,22:00:00,2002-09-10,22:00:00,22,33,33,44,35.31818181818182,2000,2002,2
228,CZE,male,178,63,19.88,40,29,2000-06-22,22:00:00,2011-08-12,22:00:00,47,64,62,72,65.91489361702128,2000,2011,11
235,FRA,male,184,68,20.09,44,27,2000-06-15,22:00:00,2013-04-20,22:00:00,143,62,53,70,61.65034965034965,2000,2013,13
